//======================================
// キャラクターにまつわるステータスの調整CSV
//
// 以下注意事項
// ※Timeがつくものはフレーム単位で記入してください。
// 	(本ゲームは60fps固定ですので90の場合は1.5秒です)
// ※{}はシステムでの初期値です、変更しないでください。
// =====================================

// キャラの最大体力(0 ～ 20まで){20}
CharaHPMax,20
// キャラの最大弾数(0 ～ 6まで){6}
CharaAmmoMax,6
// 胴体命中時のダメージ数{1}
BodyDamage,1
// ヘッドショット時のダメージ数{2}
CritDamage,2
// キャラの気室(ヘッドショット)判定になる範囲{1.0}
EggAirRoomY,1.0
// 重力{1.3}
GravityValue,1.3

// 銃とキャラクターの距離{1.0}
GunRadius,1.0
// 銃の向き補正値{-1.5}
GunRotRevision,-1.5
// 銃の回転座標補正値(度){-30.0}
GunPosRevision,-30.0
// リロードにかかる時間{120.0}
ReloadTimeMax,120.0
// コッキング最大時間{20.0}
BulletCoolTimeMax,20.0
// コッキング最小時間{4.0}
BulletCoolTimeMax,4.0
// 弾速{4.0}
BulletSpeed,4.0

// キャラのジャンプ力{25.0}
JumpPowerMax,25.0
// キャラのダッシュのクールタイム{60.0}
DashCoolTimeMax,60.0
// キャラのダッシュ効果時間{30.0}
DashTimeMax,30.0
// キャラのダッシュスピード{1.8}
DashSpeed,1.8

// プレイヤーの移動速度{1000.0}
PlayerMoveSpeed,1000.0
// カメラの高さ{4.0}
CameraRevision,4.0

// エネミーの移動速度{1000.0}
EnemyMoveSpeed,1000.0
// 次の行動決定までの時間{60.0}
SelectMoveTimeMax,60.0
// プレイヤー方向への移動確立(最大100){10}
MoveToPlayer,10
